name,lat,lon,description
CDT1,37.81302261, -0.78563755,
CDT2,37.76167833,-0.80701769,
CDT3,37.76319060,-0.78520396,
CDT4,37.75065771,-0.75280475,
CDT5,37.74179137,-0.72798869,
CDT6,37.71192530,-0.77973715,
CDT7,37.71899156,-0.84083557,
CDT8,37.69565895,-0.81121955,
CDT9,37.66640000,-0.80943333,
CDT10,37.65887670,-0.77853687,
CDT11,37.65302697,-0.74877096,
CDT12,37.68892589,-0.78522020,
CDT13,37.72445951, -0.7894839,"punto central mar menor, profundo para calibrar"
CDT14,37.75608 ,-0.5834902,punto exterior al mar menor para calibrar
CDT15,38.177781 ,2.20017064,punto exterior profundo en el meditarreno para calibrar
