date,time,lat,lon,dist,aot_868,angstrom,Rrs_411,Rrs_445,Rrs_489,Rrs_556,Rrs_667,chlor_a,chl_ocx,Kd_490,pic,poc,par,l2_flags
2017-12-01,13:06:00.193Z,37.763573,-0.80837584,0.0023321726,--,--,--,--,--,--,--,--,--,--,--,--,--,1073741889
2017-12-02,12:42:01.331Z,37.76253,-0.80665207,0.0009294252,--,--,--,--,--,--,--,--,--,--,--,--,21.053997,1611661377
2017-12-03,14:00:01.531Z,37.76293,-0.8075202,0.0013519049,--,--,--,--,--,--,--,--,--,--,--,--,--,1610612833
2017-12-04,12:00:00.927Z,37.764297,-0.8021978,0.0054862737,--,--,--,--,--,--,--,--,--,--,--,--,--,1610612833
2017-12-05,13:18:01.125Z,37.765057,-0.8065039,0.0034186514,--,--,--,--,--,--,--,--,--,--,--,--,--,1073741889
2017-12-06,13:00:01.367Z,37.764072,-0.8111445,0.004771731,--,--,--,--,--,--,--,--,--,--,--,--,20.573997,1610612801
2017-12-07,12:36:00.720Z,37.758522,-0.80900747,0.0037298403,--,--,--,--,--,--,--,--,--,--,--,--,--,1610612801
2017-12-08,13:54:00.919Z,37.767952,-0.8068084,0.0062786653,--,--,--,--,--,--,--,--,--,--,--,--,--,1610612833
2017-12-09,11:54:00.314Z,37.761425,-0.80809855,0.001109806,--,--,--,--,--,--,--,--,--,--,--,--,--,1073741921
2017-12-10,13:12:00.513Z,37.762318,-0.8092772,0.0023486211,--,--,--,--,--,--,--,--,--,--,--,--,--,1073741889
2017-12-11,12:54:00.757Z,37.761353,-0.8095473,0.0025503177,--,--,--,--,--,--,--,--,--,--,--,--,20.031998,1610612801
2017-12-12,12:30:00.111Z,37.76147,-0.80715716,0.00024877023,--,--,--,--,--,--,--,--,--,--,--,--,19.911999,1610612801
2017-12-16,12:48:00.190Z,37.76257,-0.80694073,0.0008959497,0.026099999,0.4669001,0.00034400076,0.0024840012,0.0035640001,0.0070820004,0.0025280006,12.741867,12.741867,0.8226,--,600.0,20.227997,1610615104
2017-12-17,12:30:00.448Z,37.75907,-0.8058072,0.0028729157,0.0369,0.5350001,0.0006159991,0.0023539998,0.003052,0.0059939995,0.0021480024,12.241405,12.241405,0.7906,--,534.3999,20.207996,1610615104
2017-12-18,12:12:00.707Z,37.765614,-0.80497587,0.0044347662,0.0618,0.22819996,6.0014427e-06,0.0016259998,0.0027300008,0.005090002,0.0016500019,10.263907,10.263907,0.666,--,661.1997,20.196,1610615104
2017-12-19,13:30:00.923Z,37.75883,-0.8103034,0.00434675,--,--,--,--,--,--,--,--,--,--,--,--,10.945999,1610613312
2017-12-20,13:12:01.182Z,37.762585,-0.8070871,0.0009105496,0.17019999,0.48119998,-0.00039000064,0.0019160025,0.0036260001,0.0075400025,0.0025900006,14.929506,14.929506,0.96459997,--,838.1997,20.107998,1073744192
2017-12-21,12:48:00.551Z,37.762627,-0.8089102,0.0021175023,0.0541,0.7808,0.0023340024,0.003556002,0.0047160015,0.007842001,0.002762001,7.0522547,7.0522547,0.4696,--,460.3999,20.07,1610615104
2017-12-22,12:30:00.809Z,37.765377,-0.80611795,0.0038080723,0.0409,0.71430004,0.0006959997,0.002278,0.0038239993,0.0067880005,0.002448,8.714311,8.714311,0.57019997,--,628.3999,20.089996,1610615104
