date,time,lat,lon,dist,aot_862,angstrom,Rrs_410,Rrs_443,Rrs_486,Rrs_551,Rrs_671,chlor_a,chl_ocx,Kd_490,pic,poc,par,l2_flags
2016-01-01,12:00:00.747Z,37.757572,-0.7532165,0.006928292,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2016-01-02,13:18:01.567Z,37.747955,-0.7497957,0.00404338,--,--,--,--,--,--,--,--,--,--,--,--,18.89,1073742336
2016-01-03,13:00:01.108Z,37.75065,-0.7536938,0.0008890956,--,--,--,--,--,--,--,--,--,--,--,--,16.287998,1073742400
2016-01-04,12:42:00.646Z,37.748795,-0.74695843,0.006135546,--,--,--,--,--,--,--,--,--,--,--,--,6.199997,1074790912
2016-01-05,12:24:00.186Z,37.750557,-0.7581909,0.0053870273,0.0848,0.025400162,-0.0016779974,-5.3998083e-05,0.0014219992,0.0037880018,0.0008840002,37.05688,37.05688,2.5798,0.005471997,--,19.345997,1610613056
2016-01-06,12:06:01.506Z,37.752964,-0.7532051,0.0023423613,--,--,--,--,--,--,--,--,--,--,--,--,6.857998,1073742432
2016-01-07,13:24:00.544Z,37.7468,-0.75478864,0.004337004,0.1512,0.47379994,-0.00010399893,0.0019060001,0.0035400018,0.007936001,0.0019179992,19.512499,19.512499,1.2728,--,886.1997,19.595997,1073744128
2016-01-08,13:06:00.086Z,37.749916,-0.7553022,0.0026047756,0.0436,0.40820003,0.0011599995,0.0023740008,0.0038940012,0.0073800012,0.0016480014,10.840173,10.840173,0.70199996,--,654.1997,19.647999,1073744128
2016-01-09,12:48:01.404Z,37.74783,-0.7539671,0.0030563439,0.042,0.6028,0.002216,0.0030420013,0.004470002,0.0076400004,0.002084002,7.6960864,7.6960864,0.50839996,--,525.0,19.739998,1610615040
2016-01-10,12:30:00.939Z,37.75037,-0.7530651,0.00038683103,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177601
2016-01-11,12:12:00.477Z,37.75381,-0.75472885,0.003695217,--,--,--,--,--,--,--,--,--,--,--,--,18.473999,1610613312
2016-01-12,11:54:00.010Z,37.751225,-0.7543555,0.0016516184,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177633
2016-01-13,13:12:00.817Z,37.752617,-0.7523372,0.0020157257,--,--,--,--,--,--,--,--,--,--,--,--,20.429996,1073742400
2016-01-14,12:54:00.349Z,37.74972,-0.74850726,0.0043979473,--,--,--,--,--,--,--,--,--,--,--,--,19.517998,1073742336
2016-01-15,12:36:01.663Z,37.753532,-0.7480841,0.0055278684,--,--,--,--,--,--,--,--,--,--,--,--,4.0919952,1073742400
2016-01-16,12:18:01.199Z,37.747833,-0.75241256,0.002849991,0.0587,0.44040012,-0.0004899986,0.00066599995,0.0023960024,0.0054860003,0.0016440004,21.04992,21.04992,1.3794,--,--,20.969997,1610615040
2016-01-17,12:00:00.733Z,37.749992,-0.75182164,0.0011862111,--,--,--,--,--,--,--,--,--,--,--,--,21.241997,1610613280
2016-01-18,13:18:01.537Z,37.749172,-0.75159174,0.0019166152,0.0661,0.76620007,-0.00078999996,0.0007780008,0.0024380013,0.0060960017,0.001472,29.103231,29.103231,1.9634,--,--,21.241997,1073744128
2016-01-19,13:00:01.067Z,37.75209,-0.75362885,0.0016542134,--,--,--,--,--,--,--,--,--,--,--,--,20.281998,1073742400
2016-01-20,12:42:00.598Z,37.751022,-0.751233,0.0016138728,0.0949,0.8655001,0.0024599992,0.0027920008,0.0035840012,0.0063420013,0.0014020018,8.6339035,8.6339035,0.5654,--,471.7998,21.731998,1610615104
2016-01-21,12:24:00.127Z,37.754845,-0.7530551,0.004196012,--,--,--,--,--,--,--,--,--,--,--,--,19.135998,1073742400
2016-01-22,12:06:01.431Z,37.75084,-0.7550394,0.002242127,--,--,--,--,--,--,--,--,--,--,--,--,14.245998,1073742432
2016-01-23,13:24:00.451Z,37.752888,-0.75698125,0.00473531,--,--,--,--,--,--,--,--,--,--,--,--,18.615997,1073742400
2016-01-24,13:06:01.757Z,37.752846,-0.75551915,0.0034874703,0.0415,1.9269,0.0011020005,0.0019480027,0.0030220002,0.0061760023,0.0012800023,14.056451,14.056451,0.90739995,--,665.0,22.494,1073744192
2016-01-25,12:48:01.279Z,37.747826,-0.75498694,0.0035740307,--,--,--,--,--,--,--,--,--,--,--,--,19.475998,1073742336
2016-01-26,12:30:00.798Z,37.748997,-0.7533307,0.0017407502,--,--,--,--,--,--,--,--,--,--,--,--,5.041996,1073742336
2016-01-27,12:12:00.316Z,37.748734,-0.75326467,0.00197685,--,--,--,--,--,--,--,--,--,--,--,--,--,1342177537
2016-01-28,11:54:01.614Z,37.74627,-0.7477358,0.0067036734,--,--,--,--,--,--,--,--,--,--,--,--,22.253998,1610613280
2016-01-29,13:12:00.630Z,37.747242,-0.7537296,0.0035371953,--,--,--,--,--,--,--,--,--,--,--,--,15.339996,1073742336
2016-01-30,12:54:00.150Z,37.748196,-0.7554577,0.0036182962,0.1345,1.1504,0.0009640008,0.0020240024,0.0033720024,0.005702,0.0012340024,7.4449363,7.4449363,0.49319997,--,587.7998,24.293999,1073744128
2016-01-31,12:36:01.453Z,37.748493,-0.75421363,0.0025813193,--,--,--,--,--,--,--,--,--,--,--,--,21.783997,1073742336
2016-02-01,12:18:00.977Z,37.754097,-0.7530232,0.0034477843,0.037299998,1.2770001,-0.00026199967,0.00084400177,0.002100002,0.0045660026,0.001062002,17.490583,17.490583,1.135,--,--,24.969997,1610613056
2016-02-02,12:00:00.503Z,37.746353,-0.74978286,0.005258087,--,--,--,--,--,--,--,--,--,--,--,--,24.999996,1610613280
2016-02-03,13:18:01.309Z,37.75084,-0.74812233,0.0046860003,--,--,--,--,--,--,--,--,--,--,--,--,22.253998,1073742400
2016-02-04,13:00:00.839Z,37.74885,-0.7500806,0.003267536,--,--,--,--,--,--,--,--,--,--,--,--,4.3359985,1073742336
2016-02-05,12:42:00.367Z,37.751835,-0.7533085,0.0012818596,--,--,--,--,--,--,--,--,--,--,--,--,25.899998,1073742400
2016-02-06,12:24:01.669Z,37.746445,-0.75556076,0.005033055,--,--,--,--,--,--,--,--,--,--,--,--,22.605999,1073742336
2016-02-07,12:06:01.192Z,37.752403,-0.753493,0.0018778079,--,--,--,--,--,--,--,--,--,--,--,--,13.437996,1073742432
2016-02-08,13:24:00.208Z,37.750504,-0.7502789,0.0025304707,0.1528,0.5655,-0.0031419992,-0.00069399923,0.0016780011,0.0051259995,0.0011599995,62.883217,62.883217,4.8255997,--,--,27.017998,1073742144
2016-02-09,13:06:01.507Z,37.74762,-0.7538557,0.0032132259,--,--,--,--,--,--,--,--,--,--,--,--,26.675999,1073742336
2016-02-10,12:48:01.027Z,37.75295,-0.7534053,0.0023699761,--,--,--,--,--,--,--,--,--,--,--,--,18.683998,1074790976
2016-02-11,12:30:00.547Z,37.752087,-0.7541006,0.0019301886,0.15519999,0.17790008,0.0035120025,0.0040240027,0.004564002,0.0068299994,0.0013960004,5.0719285,5.0719285,0.3518,0.0036199987,349.3999,28.089996,536873280
2016-02-12,12:12:00.066Z,37.749554,-0.7489228,0.0040354407,--,--,--,--,--,--,--,--,--,--,--,--,4.7819977,1073742336
